X,Y,F
-0.96875,-1.03125,1.8390162100132592
-0.96875,-1.0625,1.8568519842585656
-0.75,1.75,-0.9668265566961802
-0.75,1.5,-0.9022675940990952
-1.875,-2.0,0.428434954618372
0.875,0.96875,0.7498163186477014
0.875,0.9375,0.7332857228135511
0.875,0.90625,0.7545274077060578
0.875,0.875,1.1929877272463179
0.875,0.84375,1.6309299455448802
0.875,0.8125,1.6506177140624385
0.875,0.78125,1.631498548480928
0.875,0.75,1.6101463504365072
0.875,0.625,1.520020541939839
0.875,0.6875,1.5659313633137728
1.875,1.96875,-0.5224434951778341
1.875,1.9375,-0.4697751136595216
1.875,1.90625,-0.37716866601277066
1.875,1.875,0.1346280512943724
1.875,1.84375,0.6476788147907218
1.875,1.8125,0.7440430968108313
1.875,1.78125,0.802960203076923
1.875,1.75,0.8607924679675946
1.875,1.625,1.0945760915634581
1.875,1.6875,0.9775320371630246
-1.15625,-1.09375,0.955428355567531
-1.15625,-1.0625,0.9420764407042349
-0.15625,-0.09375,0.01657464829999973
-0.15625,-0.0625,0.009850280822034624
-0.15625,-0.125,0.06161773617587056
-0.15625,-0.15625,0.5244116372530744
-0.15625,-0.1875,0.9872049563126478
-0.15625,-0.21875,1.032246298149504
-0.15625,-0.25,1.0389677556086987
1.25,1.5,0.9540857816235817
1.25,1.625,0.8958509979593657
1.25,1.4375,0.9745528883511195
1.25,1.375,0.9890785334009068
1.25,1.34375,0.9941620230620548
1.03125,1.0,1.8158541148968645
1.03125,1.09375,0.9054536672972721
1.03125,1.125,0.9169503054232622
1.03125,1.0625,0.9313378209122427
1.03125,1.03125,1.3740498014171858
0.0625,-0.125,0.9921875722784841
-0.1875,-0.25,1.0449311010848068
0.125,0.375,0.04685783576202219
0.125,0.5,0.06245931784238025
0.125,0.25,0.031248640624610267
0.125,0.3125,0.03905257384455513
0.125,0.21875,0.027425153770243963
0.125,0.1875,0.025362088955050047
0.125,0.15625,0.06161773617587056
0.125,0.125,0.5156243642248833
0.125,0.09375,0.9696307538653214
0.125,0.0625,1.0058856858640552
-1.90625,-1.84375,-0.3625359954217495
-1.90625,-1.8125,-0.30829129710950154
-1.90625,-1.875,-0.37716866601277066
-1.90625,-1.90625,0.02743728483370944
-1.90625,-1.9375,0.4337196863442091
-1.90625,-1.96875,0.4241104204143663
-0.90625,-0.84375,0.6942100794494495
-0.90625,-0.8125,0.671656618929717
-0.90625,-0.875,0.7545274077060578
-0.90625,-0.90625,1.2320246477924655
-1.0,1.75,-0.9839859468739369
-1.0,1.5,-0.9974949866040544
-1.0,1.0,-0.8414709848078965
-2.0,1.75,0.35078322768961984
-2.0,1.5,-0.1411200080598672
-2.0,1.25,-0.5984721441039564
-2.0,1.0,-0.9092974268256817
-1.0,1.25,-0.9489846193555862
-1.46875,-1.4375,0.899522871410784
-1.46875,-1.46875,1.3329214581735407
-1.46875,-1.5,1.7645656651726842
-1.46875,-1.53125,1.776759541916346
-1.46875,-1.5625,1.7489942046526463
1.3125,1.125,1.9955632703877169
1.3125,1.1875,1.9999218228443296
1.3125,1.40625,0.9625353131517587
