X,Y,F
-2.0,-2.0,0.999329299739067
-2.0,-1.968503937007874,0.9992392828859001
-2.0,-1.9370078740157481,0.999137189793222
-2.0,-1.905511811023622,0.9990214018625088
-2.0,-1.874015748031496,0.9988900839793837
-2.0,-1.8425196850393701,0.9987411556732917
-2.0,-1.811023622047244,0.9985722584706749
-2.0,-1.779527559055118,0.9983807189493213
-2.0,-1.7480314960629921,0.9981635069407883
-2.0,-1.7165354330708662,0.9979171882603848
-2.0,-1.6850393700787403,0.9976378712696637
-2.0,-1.6535433070866141,0.997321146494306
-2.0,-1.6220472440944882,0.9969620184303671
-2.0,-1.5905511811023623,0.9965548285739226
-2.0,-1.5590551181102361,0.9960931686032396
-2.0,-1.5275590551181102,0.9955697825290863
-2.0,-1.4960629921259843,0.9949764565084522
-2.0,-1.4645669291338583,0.9943038948911761
-2.0,-1.4330708661417324,0.9935415809399573
-2.0,-1.4015748031496063,0.9926776205351729
-2.0,-1.3700787401574803,0.9916985670514651
-2.0,-1.3385826771653544,0.9905892254795947
-2.0,-1.3070866141732282,0.9893324337732797
-2.0,-1.2755905511811023,0.9879088193382638
-2.0,-1.2440944881889764,0.9862965285650022
-2.0,-1.2125984251968505,0.984470927356978
-2.0,-1.1811023622047245,0.9824042707493289
-2.0,-1.1496062992125984,0.980065339979554
-2.0,-1.1181102362204725,0.9774190458042687
-2.0,-1.0866141732283465,0.9744259975035896
-2.0,-1.0551181102362204,0.971042037939295
-2.0,-1.0236220472440944,0.9672177463083658
-2.0,-0.9921259842519685,0.9628979119472011
-2.0,-0.9606299212598426,0.9580209847945327
-2.0,-0.9291338582677167,0.952518511025901
-2.0,-0.8976377952755905,0.9463145660515238
-2.0,-0.8661417322834646,0.9393252016469655
-2.0,-0.8346456692913387,0.9314579295782274
-2.0,-0.8031496062992125,0.9226112707801983
-2.0,-0.7716535433070866,0.9126744069897307
-2.0,-0.7401574803149606,0.9015269806762176
-2.0,-0.7086614173228347,0.8890390989756705
-2.0,-0.6771653543307088,0.8750716077502046
-2.0,-0.6456692913385826,0.8594767122342118
-2.0,-0.6141732283464567,0.8420990300250172
-2.0,-0.5826771653543308,0.822777169053056
-2.0,-0.5511811023622046,0.801345925784561
-2.0,-0.5196850393700787,0.7776391949564704
-2.0,-0.4881889763779528,0.7514936689064559
-2.0,-0.45669291338582685,0.7227533791215175
-2.0,-0.4251968503937009,0.6912750922193586
-2.0,-0.39370078740157477,0.6569345151388792
-2.0,-0.36220472440944884,0.6196331892537545
-2.0,-0.3307086614173229,0.5793058622022691
-2.0,-0.29921259842519676,0.535928024481856
-2.0,-0.26771653543307083,0.48952319427223556
-2.0,-0.2362204724409449,0.4401694415987548
-2.0,-0.20472440944881898,0.38800457823583473
-2.0,-0.17322834645669305,0.3332294205144625
-2.0,-0.1417322834645669,0.2761085745927391
-2.0,-0.11023622047244097,0.2169683082827518
