X_Coordinate,Y_Coordinate,Function_Value
-2.0,-2.0,-0.2568024953079282
-2.0,-1.9365079365079365,-0.666184422586695
-2.0,-1.873015873015873,-0.5682975832057097
-2.0,-1.8095238095238095,-0.4595202444015804
-2.0,-1.746031746031746,-0.34334006223580915
-2.0,-1.6825396825396826,-0.2216309625110585
-2.0,-1.619047619047619,-0.09635287018011011
-2.0,-1.5555555555555556,0.030476822506986412
-2.0,-1.492063492063492,0.15681573740441032
-2.0,-1.4285714285714286,0.28062939951435684
-2.0,-1.3650793650793651,0.3999239987732058
-2.0,-1.3015873015873016,0.512778496997573
-2.0,-1.2380952380952381,0.6173755629620504
-2.0,-1.1746031746031746,0.7120308374514173
-2.0,-1.1111111111111112,0.7952200570230491
-2.0,-1.0476190476190477,0.8656035996971089
-2.0,-0.9841269841269842,0.9220480573076044
-2.0,-0.9206349206349207,0.96364448712801
-2.0,-0.8571428571428572,0.9897230488598214
-2.0,-0.7936507936507937,0.9998637912800513
-2.0,-0.7301587301587302,0.9939034148469087
-2.0,-0.6666666666666667,0.9719379013633128
-2.0,-0.6031746031746033,0.9343209683519494
-2.0,-0.5396825396825398,0.8816583730315493
-2.0,-0.4761904761904763,0.8147981576192378
-2.0,-0.4126984126984128,0.7348169930418997
-2.0,-0.3492063492063493,0.6430028409680363
-2.0,-0.2857142857142858,0.5408342133588316
-2.0,-0.22222222222222232,0.42995636352835576
-2.0,-0.15873015873015883,0.31215479211569186
-2.0,-0.09523809523809534,0.18932649461059686
-2.0,-0.031746031746031855,0.06344941344276411
-2.0,0.03174603174603163,-0.06344941344276367
-2.0,0.0952380952380949,-0.189326494610596
-2.0,0.1587301587301586,-0.31215479211569147
-2.0,0.22222222222222232,-0.42995636352835576
-2.0,0.2857142857142856,-0.5408342133588313
-2.0,0.34920634920634885,-0.6430028409680356
-2.0,0.41269841269841256,-0.7348169930418995
-2.0,0.4761904761904763,-0.8147981576192378
-2.0,0.5396825396825395,-0.881658373031549
-2.0,0.6031746031746028,-0.9343209683519491
-2.0,0.6666666666666665,-0.9719379013633127
-2.0,0.7301587301587302,-0.9939034148469087
