X_Coordinate,Y_Coordinate,Function_Value
-1.71875,-2.0,0.7083921186855369
-1.296875,-1.015625,0.968001024159329
-1.296875,-1.15625,0.9974611091938395
-1.296875,-1.2265625,1.0006850092663973
-1.296875,-1.296875,1.4938360222455729
-1.296875,-1.3671875,1.9787290310087045
-1.296875,-1.4375,1.9572475360240666
-1.296875,-1.578125,1.8889107481610035
-1.296875,-1.71875,1.7910899251189238
-0.734375,-0.453125,0.3266563381841197
-0.734375,-0.3125,0.22748305419554088
-0.734375,-0.59375,0.422349708758736
-0.734375,-0.6640625,0.4694526165324455
-0.734375,-0.734375,1.0135411677608006
-0.734375,-0.8046875,1.5562607941152629
-0.734375,-0.875,1.5992605763521737
2.4296875,2.4296875,0.12926159357125355
2.4296875,2.5,-0.206566003833263
2.4296875,2.359375,0.4758830560422339
-1.4375,-1.015625,0.9938640435213604
-1.4375,-1.15625,0.9958338596200806
-1.4375,-1.296875,0.957249098320728
-1.4375,-1.3671875,0.9240581754468402
-1.4375,-1.4375,1.3796788133499454
-1.4375,-1.5078125,1.826320302675744
-1.4375,-1.578125,1.7662835869640947
-1.4375,-1.71875,1.621682973044086
-1.4375,-1.859375,1.4517635235347355
0.8125,2.5,0.8958509979593657
-1.9296875,-2.0,0.341401146910322
0.53125,-0.3125,0.8347459227522521
-1.578125,-2.0,0.9853431784095077
1.9375,0.8125,1.9999941435154192
1.9375,0.25,1.46565534658516
-1.15625,-1.015625,0.9224268494177468
-1.15625,-1.0859375,0.9516233037572169
-1.15625,-1.15625,1.4727739906999235
-1.15625,-1.2265625,1.9874986690434304
-1.15625,-1.296875,1.997459546897178
-1.15625,-1.4375,1.9958338596188603
-1.15625,-1.71875,1.9145071238633788
-1.15625,-1.578125,1.9679374913365448
-0.59375,-0.171875,0.10187374116752455
-0.59375,-0.453125,0.265809736961471
-0.59375,-0.5234375,0.30669489750819945
-0.59375,-0.03125,0.01855362286140345
-0.59375,0.25,-0.14789299587340962
-0.59375,-0.3125,0.1844840492572682
-0.59375,-0.59375,0.8452818256186339
-0.59375,-0.6640625,1.3832670496362862
-0.59375,-0.734375,1.4223481464620746
-0.59375,-0.875,1.4964732930286684
-0.3125,1.375,-0.41658673028204113
2.078125,1.9375,0.2262270366989534
2.078125,1.796875,0.441531673086204
2.078125,1.65625,0.7041914120643894
-1.4375,-2.0,1.2634459933634208
-0.8046875,-0.8046875,1.103211832225493
-0.8046875,-0.734375,0.5580268858108319
-0.8046875,-0.875,1.6464662618581642
-1.015625,-1.015625,1.3580672437121364
-1.015625,-1.0859375,1.8916383719568113
-1.015625,-1.15625,1.9224252871210854
-1.015625,-1.296875,1.9680010241581085
-1.015625,-1.4375,1.9938640435213604
-0.453125,-0.03125,0.01415968304586346
-0.453125,-0.3125,0.14112960895685506
-0.453125,-0.3828125,0.17347638405229204
-0.453125,-0.453125,0.7038826670286588
-0.453125,-0.5234375,1.2340820098852567
-0.453125,-0.171875,0.07780215312123741
-0.453125,-0.59375,1.2658081746648095
