X_Coordinate,Y_Coordinate,Function_Value
-2.0,-2.0,-0.2568024953079282
-2.0,-1.9595959595959596,-0.6842843879671979
-2.0,-1.9191919191919191,-0.6414508124337867
-2.0,-1.878787878787879,-0.5777557737775227
-2.0,-1.8383838383838385,-0.5099915028269649
-2.0,-1.797979797979798,-0.4388935731020273
-2.0,-1.7575757575757576,-0.36493115886757493
-2.0,-1.7171717171717171,-0.28858705871991136
-2.0,-1.6767676767676767,-0.21035952588337556
-2.0,-1.6363636363636362,-0.13075910403597488
-2.0,-1.595959595959596,-0.05030529684182716
-2.0,-1.5555555555555556,0.030476822506986412
-2.0,-1.5151515151515151,0.11106003812412972
-2.0,-1.4747474747474747,0.1909184322472584
-2.0,-1.4343434343434343,0.26953081758420505
-2.0,-1.393939393939394,0.34638413878625507
-2.0,-1.3535353535353534,0.42097682084916394
-2.0,-1.3131313131313131,0.4928220425889235
-2.0,-1.2727272727272727,0.5614509138283046
-2.0,-1.2323232323232323,0.6264155355585865
-2.0,-1.1919191919191918,0.6872919231046692
-2.0,-1.1515151515151514,0.7436827732158368
-2.0,-1.1111111111111112,0.7952200570230491
-2.0,-1.0707070707070705,0.8415674219401065
-2.0,-1.0303030303030303,0.8824223868329271
-2.0,-0.9898989898989898,0.9175183161304126
-2.0,-0.9494949494949494,0.9466261599930623
-2.0,-0.909090909090909,0.9695559491823237
-2.0,-0.8686868686868685,0.9861580348745665
-2.0,-0.8282828282828283,0.99632406532817
-2.0,-0.7878787878787878,0.9999876930296089
-2.0,-0.7474747474747474,0.9971250077034236
-2.0,-0.707070707070707,0.9877546923600838
-2.0,-0.6666666666666665,0.9719379013633127
-2.0,-0.6262626262626261,0.9497778613126543
-2.0,-0.5858585858585856,0.9214191973460812
-2.0,-0.5454545454545454,0.8870469892594564
-2.0,-0.505050505050505,0.8468855636029833
-2.0,-0.46464646464646453,0.8011970296379031
-2.0,-0.4242424242424241,0.750279568708354
-2.0,-0.38383838383838365,0.6944654881926312
-2.0,-0.3434343434343432,0.6341190527345234
-2.0,-0.303030303030303,0.5696341069089655
-2.0,-0.26262626262626254,0.501431504837423
-2.0,-0.2222222222222221,0.42995636352835537
-2.0,-0.18181818181818166,0.3556751578685318
-2.0,-0.14141414141414121,0.2790726762244339
-2.0,-0.10101010101010077,0.20064885652268497
-2.0,-0.06060606060606055,0.12091552345849242
-2.0,-0.02020202020202011,0.040393048126359785
-2.0,0.020202020202020332,-0.04039304812636023
-2.0,0.060606060606060996,-0.12091552345849331
-2.0,0.10101010101010122,-0.20064885652268583
-2.0,0.14141414141414144,-0.2790726762244343
-2.0,0.1818181818181821,-0.35567515786853265
-2.0,0.22222222222222232,-0.42995636352835576
-2.0,0.262626262626263,-0.5014315048374238
-2.0,0.3030303030303032,-0.5696341069089659
-2.0,0.3434343434343434,-0.6341190527345237
-2.0,0.3838383838383841,-0.6944654881926319
-2.0,0.4242424242424243,-0.7502795687083543
-2.0,0.464646464646465,-0.8011970296379036
-2.0,0.5050505050505052,-0.8468855636029835
-2.0,0.5454545454545459,-0.8870469892594567
-2.0,0.5858585858585861,-0.9214191973460816
-2.0,0.6262626262626263,-0.9497778613126544
-2.0,0.666666666666667,-0.9719379013633129
-2.0,0.7070707070707072,-0.987754692360084
-2.0,0.7474747474747478,-0.9971250077034237
-2.0,0.7878787878787881,-0.9999876930296088
-2.0,0.8282828282828287,-0.99632406532817
-2.0,0.868686868686869,-0.9861580348745663
-2.0,0.9090909090909092,-0.9695559491823236
-2.0,0.9494949494949498,-0.9466261599930621
-2.0,0.9898989898989901,-0.9175183161304123
-2.0,1.0303030303030307,-0.8824223868329266
-2.0,1.070707070707071,-0.8415674219401059
-2.0,1.1111111111111112,-0.7952200570230491
-2.0,1.1515151515151518,-0.7436827732158362
-2.0,1.191919191919192,-0.6872919231046689
-2.0,1.2323232323232327,-0.6264155355585858
-2.0,1.272727272727273,-0.5614509138283043
-2.0,1.3131313131313136,-0.4928220425889227
-2.0,1.3535353535353538,-0.4209768208491631
-2.0,1.393939393939394,-0.34638413878625507
-2.0,1.4343434343434347,-0.2695308175842042
-2.0,1.474747474747475,-0.190918432247258
-2.0,1.5151515151515156,-0.11106003812412885
-2.0,1.5555555555555558,-0.030476822506985968
-2.0,1.5959595959595965,0.05030529684182805
-2.0,1.6363636363636367,0.1307591040359759
-2.0,1.676767676767677,0.21035952588338513
-2.0,1.7171717171717176,0.2885870587204333
-2.0,1.7575757575757578,0.36493115889719974
-2.0,1.7979797979797985,0.4388935747861522
-2.0,1.8383838383838387,0.5099915985682477
-2.0,1.878787878787879,0.5777612165740372
-2.0,1.9191919191919196,0.6417601376193884
-2.0,1.9595959595959598,0.7015706795717264
-2.0,2.0,0.7568024953079282
-1.9595959595959596,-2.0,0.281143028823746
-1.9595959595959596,-1.9595959595959596,-0.14301124464726
-1.9595959595959596,-1.9191919191919191,-0.5631367307620514
-1.9595959595959596,-1.878787878787879,-0.5138888340899979
-1.9595959595959596,-1.8383838383838385,-0.44474614449899286
-1.9595959595959596,-1.797979797979798,-0.3725183282252752
-1.9595959595959596,-1.7575757575757576,-0.29795124453472105
-1.9595959595959596,-1.7171717171717171,-0.2215172547216435
-1.9595959595959596,-1.6767676767676767,-0.14369534678473384
-1.9595959595959596,-1.6363636363636362,-0.06497311553391832
-1.9595959595959596,-1.595959595959596,0.014156204813486216
-1.9595959595959596,-1.5555555555555556,0.09319682945077162
-1.9595959595959596,-1.5151515151515151,0.17165352929474112
-1.9595959595959596,-1.4747474747474747,0.24903473384336536
-1.9595959595959596,-1.4343434343434343,0.3248556111110619
-1.9595959595959596,-1.393939393939394,0.39864110534380426
-1.9595959595959596,-1.3535353535353534,0.46992891348124827
-1.9595959595959596,-1.3131313131313131,0.5382723817168419
-1.9595959595959596,-1.2727272727272727,0.6032433040075359
-1.9595959595959596,-1.2323232323232323,0.6644346049990102
-1.9595959595959596,-1.1919191919191918,0.7214628905565633
-1.9595959595959596,-1.1515151515151514,0.7739708499213036
-1.9595959595959596,-1.1111111111111112,0.8216294944409325
-1.9595959595959596,-1.0707070707070705,0.864140218848352
-1.9595959595959596,-1.0303030303030303,0.901236672173152
-1.9595959595959596,-0.9898989898989898,0.9326864265637838
-1.9595959595959596,-0.9494949494949494,0.9582924335644077
-1.9595959595959596,-0.909090909090909,0.9778942587221183
-1.9595959595959596,-0.8686868686868685,0.9913690867891084
-1.9595959595959596,-0.8282828282828283,0.9986324912216814
-1.9595959595959596,-0.7878787878787878,0.9996389631548145
-1.9595959595959596,-0.7474747474747474,0.9943821965379798
-1.9595959595959596,-0.707070707070707,0.9828951276457086
-1.9595959595959596,-0.6666666666666665,0.965249728715343
-1.9595959595959596,-0.6262626262626261,0.9415565570049366
-1.9595959595959596,-0.5858585858585856,0.9119640620966859
-1.9595959595959596,-0.5454545454545454,0.8766576557859799
-1.9595959595959596,-0.505050505050505,0.835858550383679
-1.9595959595959596,-0.46464646464646453,0.789822372710244
-1.9595959595959596,-0.4242424242424241,0.738837562465732
-1.9595959595959596,-0.38383838383838365,0.6832235650106742
-1.9595959595959596,-0.3434343434343432,0.6233288298809698
-1.9595959595959596,-0.303030303030303,0.5595286275771015
-1.9595959595959596,-0.26262626262626254,0.49222269830657744
-1.9595959595959596,-0.2222222222222221,0.4218327474114126
-1.9595959595959596,-0.18181818181818166,0.34879980317304327
-1.9595959595959596,-0.14141414141414121,0.2735814535493536
-1.9595959595959596,-0.10101010101010077,0.19664897915703872
-1.9595959595959596,-0.06060606060606055,0.11848440046260594
-1.9595959595959596,-0.02020202020202011,0.03957745768283816
-1.9595959595959596,0.020202020202020332,-0.039577457682838595
-1.9595959595959596,0.060606060606060996,-0.11848440046260679
-1.9595959595959596,0.10101010101010122,-0.19664897915703958
-1.9595959595959596,0.14141414141414144,-0.27358145354935404
-1.9595959595959596,0.1818181818181821,-0.34879980317304404
-1.9595959595959596,0.22222222222222232,-0.42183274741141297
-1.9595959595959596,0.262626262626263,-0.4922226983065782
-1.9595959595959596,0.3030303030303032,-0.559528627577102
-1.9595959595959596,0.3434343434343434,-0.6233288298809702
-1.9595959595959596,0.3838383838383841,-0.6832235650106748
-1.9595959595959596,0.4242424242424243,-0.7388375624657323
-1.9595959595959596,0.464646464646465,-0.7898223727102447
-1.9595959595959596,0.5050505050505052,-0.8358585503836792
-1.9595959595959596,0.5454545454545459,-0.8766576557859803
-1.9595959595959596,0.5858585858585861,-0.9119640620966862
