X_min,X_max,Y_min,Y_max,Depth
1.9375,2.0,1.9375,2.0,6
1.875,1.9375,1.9375,2.0,6
1.875,1.9375,1.875,1.9375,6
1.9375,2.0,1.875,1.9375,6
1.8125,1.875,1.9375,2.0,6
1.75,1.8125,1.9375,2.0,6
1.75,1.8125,1.875,1.9375,6
1.8125,1.875,1.875,1.9375,6
1.8125,1.875,1.8125,1.875,6
1.75,1.8125,1.8125,1.875,6
1.75,1.8125,1.75,1.8125,6
1.8125,1.875,1.75,1.8125,6
1.9375,2.0,1.8125,1.875,6
1.875,1.9375,1.8125,1.875,6
1.875,1.9375,1.75,1.8125,6
1.9375,2.0,1.75,1.8125,6
1.625,1.75,1.875,2.0,5
1.5,1.625,1.875,2.0,5
1.5,1.625,1.75,1.875,5
1.6875,1.75,1.8125,1.875,6
1.625,1.6875,1.8125,1.875,6
1.625,1.6875,1.75,1.8125,6
1.6875,1.75,1.75,1.8125,6
1.6875,1.75,1.6875,1.75,6
1.625,1.6875,1.6875,1.75,6
1.625,1.6875,1.625,1.6875,6
1.6875,1.75,1.625,1.6875,6
1.5625,1.625,1.6875,1.75,6
1.5,1.5625,1.6875,1.75,6
1.5,1.5625,1.625,1.6875,6
1.5625,1.625,1.625,1.6875,6
1.5625,1.625,1.5625,1.625,6
1.5,1.5625,1.5625,1.625,6
1.5,1.5625,1.5,1.5625,6
1.5625,1.625,1.5,1.5625,6
1.6875,1.75,1.5625,1.625,6
1.625,1.6875,1.5625,1.625,6
1.625,1.6875,1.5,1.5625,6
1.6875,1.75,1.5,1.5625,6
1.875,2.0,1.625,1.75,5
1.8125,1.875,1.6875,1.75,6
1.75,1.8125,1.6875,1.75,6
1.75,1.8125,1.625,1.6875,6
1.8125,1.875,1.625,1.6875,6
1.75,1.875,1.5,1.625,5
1.875,2.0,1.5,1.625,5
1.375,1.5,1.875,2.0,5
1.25,1.375,1.875,2.0,5
1.25,1.375,1.75,1.875,5
1.375,1.5,1.75,1.875,5
1.125,1.25,1.875,2.0,5
1.0,1.125,1.875,2.0,5
1.0,1.125,1.75,1.875,5
1.125,1.25,1.75,1.875,5
1.125,1.25,1.625,1.75,5
1.0,1.125,1.625,1.75,5
1.0,1.125,1.5,1.625,5
1.125,1.25,1.5,1.625,5
1.375,1.5,1.625,1.75,5
1.25,1.375,1.625,1.75,5
1.25,1.375,1.5,1.625,5
1.4375,1.5,1.5625,1.625,6
1.375,1.4375,1.5625,1.625,6
1.375,1.4375,1.5,1.5625,6
1.4375,1.5,1.5,1.5625,6
1.4375,1.5,1.4375,1.5,6
1.375,1.4375,1.4375,1.5,6
1.375,1.4375,1.375,1.4375,6
1.4375,1.5,1.375,1.4375,6
