X_min,X_max,Y_min,Y_max,Depth
1.984375,2.0,1.984375,2.0,8
1.96875,1.984375,1.984375,2.0,8
1.96875,1.984375,1.96875,1.984375,8
1.984375,2.0,1.96875,1.984375,8
1.953125,1.96875,1.984375,2.0,8
1.9375,1.953125,1.984375,2.0,8
1.9375,1.953125,1.96875,1.984375,8
1.9609375,1.96875,1.9765625,1.984375,9
1.953125,1.9609375,1.9765625,1.984375,9
1.953125,1.9609375,1.96875,1.9765625,9
1.9609375,1.96875,1.96875,1.9765625,9
1.953125,1.96875,1.953125,1.96875,8
1.94921875,1.953125,1.96484375,1.96875,10
1.9453125,1.94921875,1.96484375,1.96875,10
1.9453125,1.94921875,1.9609375,1.96484375,10
1.94921875,1.953125,1.9609375,1.96484375,10
1.9375,1.9453125,1.9609375,1.96875,9
1.9375,1.9453125,1.953125,1.9609375,9
1.9453125,1.953125,1.953125,1.9609375,9
1.9375,1.953125,1.9375,1.953125,8
1.96484375,1.96875,1.94921875,1.953125,10
1.9609375,1.96484375,1.94921875,1.953125,10
1.9609375,1.96484375,1.9453125,1.94921875,10
1.96484375,1.96875,1.9453125,1.94921875,10
1.953125,1.9609375,1.9453125,1.953125,9
1.953125,1.9609375,1.9375,1.9453125,9
1.9609375,1.96875,1.9375,1.9453125,9
1.984375,2.0,1.953125,1.96875,8
1.9765625,1.984375,1.9609375,1.96875,9
1.96875,1.9765625,1.9609375,1.96875,9
1.96875,1.9765625,1.953125,1.9609375,9
1.9765625,1.984375,1.953125,1.9609375,9
1.96875,1.984375,1.9375,1.953125,8
1.984375,2.0,1.9375,1.953125,8
1.921875,1.9375,1.984375,2.0,8
1.90625,1.921875,1.984375,2.0,8
1.90625,1.921875,1.96875,1.984375,8
1.921875,1.9375,1.96875,1.984375,8
1.875,1.90625,1.96875,2.0,7
1.890625,1.90625,1.953125,1.96875,8
1.875,1.890625,1.953125,1.96875,8
1.875,1.890625,1.9375,1.953125,8
1.890625,1.90625,1.9375,1.953125,8
1.921875,1.9375,1.953125,1.96875,8
1.90625,1.921875,1.953125,1.96875,8
1.9140625,1.921875,1.9453125,1.953125,9
1.90625,1.9140625,1.9453125,1.953125,9
1.90625,1.9140625,1.9375,1.9453125,9
1.9140625,1.921875,1.9375,1.9453125,9
1.93359375,1.9375,1.94921875,1.953125,10
1.9296875,1.93359375,1.94921875,1.953125,10
1.9296875,1.93359375,1.9453125,1.94921875,10
1.93359375,1.9375,1.9453125,1.94921875,10
1.921875,1.9296875,1.9453125,1.953125,9
1.921875,1.9296875,1.9375,1.9453125,9
1.9296875,1.9375,1.9375,1.9453125,9
1.921875,1.9375,1.921875,1.9375,8
1.91796875,1.921875,1.93359375,1.9375,10
1.9140625,1.91796875,1.93359375,1.9375,10
1.9140625,1.91796875,1.9296875,1.93359375,10
1.91796875,1.921875,1.9296875,1.93359375,10
1.90625,1.9140625,1.9296875,1.9375,9
1.90625,1.9140625,1.921875,1.9296875,9
1.9140625,1.921875,1.921875,1.9296875,9
1.90625,1.921875,1.90625,1.921875,8
1.93359375,1.9375,1.91796875,1.921875,10
1.9296875,1.93359375,1.91796875,1.921875,10
1.9296875,1.93359375,1.9140625,1.91796875,10
1.93359375,1.9375,1.9140625,1.91796875,10
1.921875,1.9296875,1.9140625,1.921875,9
1.921875,1.9296875,1.90625,1.9140625,9
1.9296875,1.9375,1.90625,1.9140625,9
1.8984375,1.90625,1.9296875,1.9375,9
1.890625,1.8984375,1.9296875,1.9375,9
1.890625,1.8984375,1.921875,1.9296875,9
1.8984375,1.90625,1.921875,1.9296875,9
1.875,1.890625,1.921875,1.9375,8
1.88671875,1.890625,1.91796875,1.921875,10
1.8828125,1.88671875,1.91796875,1.921875,10
1.8828125,1.88671875,1.9140625,1.91796875,10
1.88671875,1.890625,1.9140625,1.91796875,10
1.875,1.8828125,1.9140625,1.921875,9
1.875,1.8828125,1.90625,1.9140625,9
1.8828125,1.890625,1.90625,1.9140625,9
1.904296875,1.90625,1.919921875,1.921875,11
1.90234375,1.904296875,1.919921875,1.921875,11
1.90234375,1.904296875,1.91796875,1.919921875,11
1.904296875,1.90625,1.91796875,1.919921875,11
1.8984375,1.90234375,1.91796875,1.921875,10
1.8984375,1.90234375,1.9140625,1.91796875,10
1.90234375,1.90625,1.9140625,1.91796875,10
1.890625,1.8984375,1.9140625,1.921875,9
1.890625,1.8984375,1.90625,1.9140625,9
1.8984375,1.90625,1.90625,1.9140625,9
1.890625,1.90625,1.890625,1.90625,8
1.888671875,1.890625,1.904296875,1.90625,11
