X_Coordinate,Y_Coordinate,Function_Value
1.8359375,1.8515625,-0.08162735066504972
1.8359375,1.859375,-0.18119442813488879
1.8359375,1.84375,0.0730301421244072
1.8359375,1.8359375,0.27292433493373014
1.8359375,1.828125,0.472865243027242
1.8359375,1.8203125,0.6276628720587347
1.8359375,1.8125,0.7274634778988397
0.890625,0.8125,1.661707002664004
0.890625,0.953125,0.7524654741796323
0.890625,0.96875,0.7600663236442848
0.890625,0.9375,0.7503959306728969
0.890625,0.921875,0.7739460262208359
-0.1953125,-0.1796875,0.2083762169055101
-0.1953125,-0.171875,0.12112687093325586
-0.1953125,-0.1875,0.35066345383835135
-0.1953125,-0.1953125,0.5381377214708495
-0.1953125,-0.203125,0.7256119003070624
-0.1953125,-0.2109375,0.8678988708512549
-0.1953125,-0.21875,0.9551477728431172
1.703125,1.765625,0.1360340400808397
1.703125,1.78125,0.10809647408814509
1.703125,1.75,0.16955329143543987
0.9296875,0.9453125,0.9432907984070441
0.9296875,0.953125,0.8621802882078917
0.9296875,0.9375,1.0793986608505646
0.9296875,0.9296875,1.2606532643683683
0.9296875,0.921875,1.44186774068508
0.9296875,0.9140625,1.5778552236421788
0.9296875,0.90625,1.6587651084200317
-1.1015625,-1.0859375,1.1039538611813715
-1.1015625,-1.078125,1.0150464018082728
-1.1015625,-1.09375,1.2478303662143295
-1.1015625,-1.1015625,1.4368248295551633
-1.1015625,-1.109375,1.6257499097386343
-1.1015625,-1.1171875,1.769418270438162
-1.1015625,-1.125,1.8579788397173567
-0.75,-0.796875,1.5535809065932262
1.8203125,1.8359375,-0.02576071608261213
1.8203125,1.84375,-0.12540110404478366
1.8203125,1.828125,0.12895789996613674
1.8203125,1.8203125,0.32890106488918325
1.8203125,1.8125,0.528878832668644
1.8203125,1.8046875,0.6837012502885926
1.8203125,1.796875,0.7835146175440364
-0.2109375,-0.1953125,0.21447528270990812
-0.2109375,-0.1875,0.1271043102670017
-0.2109375,-0.203125,0.35688411595579983
-0.2109375,-0.2109375,0.544479948822732
-0.2109375,-0.21875,0.7320756608938651
-0.2109375,-0.2265625,0.8744841317526884
-0.2109375,-0.234375,0.9618545002182407
0.140625,0.203125,0.030487303524027416
0.140625,0.21875,0.031161348927054498
0.140625,0.1875,0.03548976979167598
0.140625,0.171875,0.06625529657455655
0.140625,0.15625,0.19525909416430656
0.140625,0.1640625,0.11063308189223532
0.140625,0.1484375,0.3349230525738619
0.140625,0.140625,0.5197741017361388
0.140625,0.1328125,0.7046251270311948
0.140625,0.125,0.8442890138391164
-1.890625,-1.828125,-0.30761035500658185
-1.890625,-1.8125,-0.2809114626348202
-1.890625,-1.84375,-0.3283624932329617
-1.890625,-1.859375,-0.323056948767801
-1.890625,-1.875,-0.21919438859711465
-1.890625,-1.8671875,-0.2912911223264378
-1.890625,-1.8828125,-0.0919740566644821
-1.890625,-1.890625,0.08052197113851678
-1.890625,-1.8984375,0.25310951391878367
-1.890625,-1.90625,0.3806043708179529
0.9140625,0.9296875,0.924431635500832
0.9140625,0.9375,0.8434022042873519
0.9140625,0.890625,1.6395351990166427
0.9140625,0.8984375,1.558694858581446
0.9140625,0.921875,1.060460734599373
0.9140625,0.9140625,1.2416388862453818
0.9140625,0.90625,1.4227792178071077
-1.1171875,-1.1015625,1.1159946822968152
-1.1171875,-1.09375,1.0273225729294562
-1.1171875,-1.109375,1.259632950847436
-1.1171875,-1.1171875,1.4483863027883246
-1.1171875,-1.125,1.6370674085785712
-1.1171875,-1.1328125,1.7804889441808323
-1.1171875,-1.140625,1.868799850312391
1.03125,1.15625,0.9292556532964997
1.03125,1.1875,0.9406735303662246
1.03125,1.125,0.9169503054232622
1.03125,1.109375,0.9107188684759207
1.03125,1.09375,0.9054536672972721
1.03125,1.078125,0.9056305309801232
1.03125,1.0625,0.9313378209122427
1.03125,1.0546875,0.9730998329121379
1.03125,1.046875,1.0550526203602624
1.03125,1.0390625,1.1919861459238237
0.0625,0.1875,0.011722208420224419
0.0625,0.15625,0.009850280822034624
0.0625,0.125,0.009739155190710308
0.0625,0.140625,0.009193430842586316
0.0625,0.109375,0.015961521648697734
0.0625,0.09375,0.0479470693880637
1.828125,1.765625,0.9119893917179552
-0.375,-0.34375,0.1706372723903508
-0.375,-0.46875,1.1747925909485486
0.125,0.375,0.04685783576202219
0.125,0.5,0.06245931784238025
0.125,0.25,0.031248640624610267
0.125,0.3125,0.03905257384455513
0.125,0.28125,0.03514917222087247
0.125,0.21875,0.027425153770243963
0.125,0.203125,0.025792378431518673
0.125,0.1875,0.025362088955050047
0.125,0.171875,0.030608359640195554
0.125,0.15625,0.06161773617587056
-1.359375,-1.390625,1.9072783003951175
-1.359375,-1.3828125,1.8650851336763343
-1.359375,-1.40625,1.933353658386849
-1.359375,-1.421875,1.933240647332155
-1.359375,-1.4375,1.9270291040992706
