X_Coordinate,Y_Coordinate,Function_Value
1.625,-1.0,0.0014686594601683867
2.0,-1.75,1.35078322768962
0.75,-1.125,0.2528591360644058
0.75,-1.25,0.1939188917393071
0.75,-1.375,0.14205815718751658
0.75,-1.5,0.09773240590090482
0.75,-1.625,0.061330934423240224
0.75,-1.75,0.03317344330381977
0.75,-1.875,0.013507229286766287
2.0,-1.875,1.5715613187423438
0.0,-1.5,1.0
0.0,-1.75,1.0
-1.875,-0.75,0.9864927707132337
-1.875,-0.875,0.9975629686965886
1.125,-1.625,0.032926724586573974
1.125,-1.875,0.1415614299795267
-0.75,1.875,-0.9864927707132337
-0.75,1.75,-0.9668265566961802
-0.75,1.625,-0.9386690655767598
-0.75,1.5,-0.9022675940990952
-0.75,1.375,-0.8579418428124834
-0.75,1.25,-0.8060811082606929
-0.75,1.125,-0.7471408639355942
-0.75,1.0,-0.6816387600233342
-1.125,2.0,-0.7780731968879213
-1.5,0.875,-0.9668265566961802
-1.5,0.75,-0.9022675940990952
-1.5,0.625,-0.8060811082606929
-1.5,0.5,-0.6816387600233342
-1.5,0.375,-0.5333026735360201
-1.5,0.25,-0.36627252908604757
-1.5,0.0,7.175095973164411e-66
-1.5,-0.25,0.36627252908604757
-1.5,-0.5,0.6816387600233342
-1.5,-0.375,0.5333026735360201
-1.0625,-0.9375,0.839357741026334
-1.0625,-0.875,0.8014330858198877
-1.875,-1.0,0.9540857816096938
-1.875,-2.0,0.428434954618372
-0.8125,-1.0,1.7260086480665795
0.0,0.75,2.678636961808078e-33
0.0,0.5,1.928749847963918e-22
0.0,0.375,5.175555005801869e-17
0.0,0.25,1.3887943864771144e-11
0.0,0.1875,7.194132978569834e-09
0.0,0.125,3.726639284186561e-06
0.0,0.0625,0.0019267346633274757
0.0,0.0,0.5
0.4375,0.5625,0.2436209938317591
0.4375,0.625,0.270042823912718
0.4375,0.5,0.2189363157583376
0.4375,0.4375,0.690239651239099
0.4375,0.375,1.1614007570732854
0.4375,0.3125,1.1362894963958696
0.75,1.0,0.6816387600372221
0.75,1.125,0.7471408639355942
0.4375,0.25,1.1091570496811893
0.875,0.9375,0.7332857228135511
0.875,0.875,1.1929877272463179
0.875,0.8125,1.6506177140624385
0.875,0.75,1.6101463504365072
0.875,0.625,1.520020541939839
0.875,0.6875,1.5659313633137728
0.875,0.5,1.423676257203938
